steamerid,firstname,lastname,DBteamId,IP,start_IP,relief_IP,start_percent,FBV,TBF,G,GS,W,L,SV,BB,K,HBP,ER,R,ERA,RA,H,HR,GB,FB,LD,K9,BB9,HR9,WHIP
5579,Mitch,Stetter,MIL,1,0,1,0,80.6,4,1,0,0.0532,0.0468,0,0.4606,0.8753,0.0454,0.4678,0.5057,4.2102,4.5513,0.9584,0.12,1.2693,1.1025,0.6107,7.8777,4.1454,1.08,1.419
sa659442,Thomas,Lee,SLN,1,0.166,0.834,0.166,NULL,4,1,0,0.0532,0.0468,0,0.288,0.6483,0.0413,0.4678,0.5076,4.2102,4.5684,1.0585,0.11,1.472,1.1511,0.6837,5.8347,2.592,0.99,1.3465
sa501969,Marcus,Stroman,TOR,19.1808,19.1808,0,1,92.6,82,3.3650526316,3.3651,1.2664,1.1712,0,6.3854,16.8499,0.6372,8.9728,9.6777,4.21021021021021,4.54096283783784,18.8515,2.49,24.2009,21.6595,11.8882,7.90629692192192,2.9961524024024,1.16835585585586,1.31573761261261
11745,Chance,Ruffin,SEA,1,0,1,0,92.5,4,1,0,0.0532,0.0468,0,0.3435,0.755,0.051,0.4678,0.5046,4.2102,4.5414,1.0122,0.13,1.2876,1.2433,0.6333,6.795,3.0915,1.17,1.3557
886,Kris,Johnson,MIN,10,0,10,0,91.9,43,10,0.034,0.5278,0.4654,0,3.3913,7.3,0.3742,4.6788,5.0614,4.21092,4.55526,10.4841,1.13,13.6113,11.745,6.8513,6.57,3.05217,1.017,1.38754
296,Will,Ohman,CHA,1,0,1,0,88.1,4,1,0,0.0532,0.0468,0,0.3401,0.7813,0.0558,0.4681,0.5056,4.2129,4.5504,1.0178,0.13,1.3429,1.1672,0.6301,7.0317,3.0609,1.17,1.3579
7169,Ryan,Mattheus,WAS,35,0,35,0,92.4,152,35,0,1.8617,1.6383,0,11.3777,23.7136,1.2237,16.3831,17.875,4.21279714285714,4.59642857142857,37.1732,3.39,57.3262,33.1167,23.7412,6.09778285714286,2.92569428571429,0.871714285714286,1.38716857142857
sa579841,J.R.,Graham,ATL,9.5904,9.5904,0,1,94.6,41,1.6825263158,1.6825,0.5775,0.6413,0,3.2478,7.6624,0.306,4.4898,4.8659,4.2134009009009,4.5663475975976,9.5821,1.1,13.1673,10.2841,6.2588,7.19069069069069,3.04786036036036,1.03228228228228,1.33778570236904
12638,Nathan,Karns,TBA,47.952,47.952,0,1,93.4,209,8.4126315789,8.4126,2.9973,3.0968,0,22.503,43.0001,2.3088,22.4506,24.2631,4.2137012012012,4.55388513513514,43.831,5.66,57.6804,53.9004,28.2361,8.07058933933934,4.22353603603604,1.06231231231231,1.38334167500834
4199,Fu-Te,Ni,DET,1,0,1,0,86.5,4,1,0,0.0532,0.0468,0,0.3255,0.6779,0.0374,0.4683,0.5066,4.2147,4.5594,1.0407,0.13,1.381,1.2341,0.6492,6.1011,2.9295,1.17,1.3662
